,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
95,30095,논현,12438,84932,19127,24376,56865,20815,37.511093,127.021415,48685.0,21751.5,38840.0,87525.0,109276.5,0.8009498840098283,1,1,0
96,30096,능곡,12826,3775,4981,4108,3601,8067,37.618808,126.820783,8300.5,4544.5,5834.0,14134.5,18679.0,0.756705391080893,1,0,1
97,30097,단대오거리,32897,13197,13886,11058,12459,23962,37.44521,127.156866,23047.0,12472.0,18210.5,41257.5,53729.5,0.7678742590197192,1,0,0
98,30098,달월,91,191,103,82,236,63,37.379681,126.745177,141.0,92.5,149.5,290.5,383.0,0.758485639686684,1,0,0
99,30099,답십리,53830,21422,18819,15916,19548,34303,37.566747,127.052704,37626.0,17367.5,26925.5,64551.5,81919.0,0.787991796774863,1,1,1
100,30100,당고개,43643,11475,18360,14645,11992,28827,37.670272,127.079066,27559.0,16502.5,20409.5,47968.5,64471.0,0.7440322005242668,0,0,0
101,30101,당산,45795,36890,24016,21304,31626,43838,37.53438,126.902281,41342.5,22660.0,37732.0,79074.5,101734.5,0.7772633669011004,1,1,1
102,30102,당정,19467,10543,8062,6058,8539,14369,37.344285,126.948345,15005.0,7060.0,11454.0,26459.0,33519.0,0.7893731913243235,1,0,0
103,30103,대곡,5178,2216,2334,1785,2526,2757,37.631626,126.811024,3697.0,2059.5,2641.5,6338.5,8398.0,0.7547630388187664,1,0,0
104,30104,대공원,1134,11465,8435,9909,8601,1305,37.435675,127.006523,6299.5,9172.0,4953.0,11252.5,20424.5,0.5509314793507797,0,0,1
105,30105,대림(구로구청),45977,25967,24162,24902,24278,37324,37.49297,126.895801,35972.0,24532.0,30801.0,66773.0,91305.0,0.7313181096325503,0,1,1
106,30106,대모산입구,8791,5808,5122,3762,4835,5473,37.491373,127.07272,7299.5,4442.0,5154.0,12453.5,16895.5,0.7370897576277707,0,0,0
107,30107,대방,30163,36159,17138,13931,24311,24399,37.513342,126.926382,33161.0,15534.5,24355.0,57516.0,73050.5,0.7873457402755628,1,0,0
108,30108,대성리,1120,960,1504,1496,912,922,37.684071,127.379319,1040.0,1500.0,917.0,1957.0,3457.0,0.5660977726352329,0,0,1
109,30109,대야미,14245,5958,6898,5211,6227,9722,37.328467,126.917332,10101.5,6054.5,7974.5,18076.0,24130.5,0.749093470918547,0,0,0
110,30110,대청,24523,16423,13972,10026,14459,18025,37.493514,127.079532,20473.0,11999.0,16242.0,36715.0,48714.0,0.7536847723447059,1,0,0
111,30111,대치,20993,20517,14668,16241,20198,19777,37.494612,127.063642,20755.0,15454.5,19987.5,40742.5,56197.0,0.7249942167731374,0,0,1
112,30112,대화,44153,15684,19444,14005,14558,24235,37.676087,126.747569,29918.5,16724.5,19396.5,49315.0,66039.5,0.7467500511057776,0,0,0
113,30113,대흥(서강대앞),15110,20794,11386,11472,15404,13667,37.547771,126.942069,17952.0,11429.0,14535.5,32487.5,43916.5,0.7397561281067481,0,0,1
114,30114,덕계,8767,2696,3430,2489,2239,5619,37.818486,127.056486,5731.5,2959.5,3929.0,9660.5,12620.0,0.7654912836767036,1,0,0
115,30115,덕소,19586,5332,8724,7275,5204,14610,37.586781,127.208832,12459.0,7999.5,9907.0,22366.0,30365.5,0.7365595824208394,0,0,1
116,30116,덕정,16251,10877,8932,6749,7801,12193,37.843188,127.061277,13564.0,7840.5,9997.0,23561.0,31401.5,0.7503144754231486,1,0,0
